skillID,commonName,commonValue
0000109,maxLevel,1
0000109,x,100
0000111,maxLevel,1
0000111,x,12*x
0000112,maxLevel,2
0000112,x,12*x
0000012,maxLevel,20
0000012,x,x
0000012,y,x
0000012,z,x
0000073,maxLevel,30
0000073,x,x
0000073,y,x
0000073,z,x
0000074,maxLevel,1
0000074,x,10
0001075,maxLevel,5
0001075,mpCon,10+3*x
0001075,damage,80+20*x
0001075,mobCount,3+u(x/2)
0001075,attackCount,4
0001076,maxLevel,5
0001076,mpCon,30+x
0001076,damage,205+15*x
0001076,time,10+x
0001076,dot,55+15*x
0001076,dotInterval,1
0001076,dotTime,5
0001076,mobCount,8
0001076,hcCooltime,30
0001077,maxLevel,5
0001077,mpCon,12+3*x
0001077,damage,475+55*x
0001077,mobCount,3+u(x/2)
0001078,maxLevel,5
0001078,mpCon,14+2*x
0001078,damage,45+9*x
0001078,mobCount,3+u(x/2)
0001078,x,2+x
0001078,attackCount,4
0001079,maxLevel,5
0001079,mpCon,10+5*x
0001079,damage,210+60*x
0001079,mobCount,3+u(x/2)
0001079,range,500
0000080,maxLevel,1
0000080,x,10
0001085,mpCon,0
0001085,maxLevel,1
0000086,indiePad,5
0000086,maxLevel,1
0000086,time,600
0000086,indieMad,5
0000086,x,600
0001087,mpCon,0
0001087,maxLevel,1
0000088,maxLevel,1
0000088,time,600
0000088,x,600
0000088,indiePad,10
0000088,indieMad,10
0001090,mpCon,0
0001090,maxLevel,1
0000091,indiePad,5
0000091,maxLevel,1
0000091,time,600
0000091,indieMad,5
0000091,x,600
0001092,damage,1200
0001092,mobCount,15
0001092,maxLevel,1
0000093,maxLevel,1
0000093,x,100
0000093,y,100
0000093,z,20
0001094,damage,1500
0001094,mobCount,10
0001094,maxLevel,1
0001095,damage,300
0001095,mobCount,10
0001095,maxLevel,1
0000097,mpCon,0
0000097,damage,600
0000097,mobCount,10
0000097,maxLevel,1
0001098,mpCon,0
0001098,maxLevel,1
0001098,cooltime,5
0000099,damage,1200
0000099,mobCount,10
0000099,maxLevel,1
0000099,iceGageCon,20
0000099,prop,100
0000099,time,3
0000100,maxLevel,1
0000100,damage,500
0000100,attackCount,4
0000100,mobCount,10
0000100,iceGageCon,40
0000100,prop,100
0000100,dot,200
0000100,dotInterval,1
0000100,dotTime,5
0000103,maxLevel,1
0000103,mpCon,0
0000103,damage,900
0000103,iceGageCon,5
0000103,mobCount,10
0000103,prop,20
0000103,time,1
0000104,maxLevel,1
0000104,mobCount,10
0000104,mpCon,0
0000104,time,10
0000104,prop,50
0000104,x,2003
0000104,iceGageCon,60
0001105,maxLevel,1
0001105,morph,2002
0001105,mpCon,0
0001105,time,350
0001179,mpCon,0
0001179,maxLevel,1
0000180,maxLevel,1
0000180,time,600
0000180,x,600
0000180,indiePad,12
0000180,indieMad,12
0000190,maxLevel,1
0000190,madX,5
0000190,padX,5
0000190,strX,5
0000190,dexX,5
0000190,intX,5
0000190,lukX,5
0001196,maxLevel,10
0001196,mpCon,10+x
0001196,time,100+10*x
0001196,x,1
0001196,damage,60+10*x
0001197,maxLevel,10
0001197,mpCon,10+x
0001197,time,100+10*x
0001197,x,1
0001197,damage,60+10*x
0001198,maxLevel,10
0001198,mpCon,10+x
0001198,time,100+10*x
0001198,x,1
0001198,damage,60+10*x
0001199,mpCon,10+x
0001199,damage,60+10*x
0001199,time,100+10*x
0001199,x,1
0001199,maxLevel,10
0001200,maxLevel,10
0001200,mpCon,10+x
0001200,time,100+10*x
0001200,x,1
0001200,damage,60+10*x
0001251,maxLevel,1
0000252,maxLevel,6
0000252,time,3
0000252,y,17+3*x
0000252,cooltime,450-40*x
0000252,x,15
0000253,maxLevel,6
0000253,time,3
0000253,y,17+3*x
0000253,cooltime,450-40*x
0000253,x,15
0000254,maxLevel,6
0000254,time,3
0000254,y,17+3*x
0000254,cooltime,450-40*x
0000254,x,15
0000255,maxLevel,6
0000255,time,10
0000255,x,3
0000255,prop,13+2*x
0000255,y,u(x/2)
0000255,w,u(x/2)
0000256,maxLevel,6
0000256,time,10
0000256,x,3
0000256,prop,13+2*x
0000256,y,u(x/2)
0000256,w,u(x/2)
0000257,maxLevel,6
0000257,time,10
0000257,x,3
0000257,prop,13+2*x
